,Profile,Company,Location,Start Date,Duration,Stipend,Apply By
106,Database Building/Management,Times Internet Limited,"Delhi, Ghaziabad, Noida",Immediately,3 Months,2000/month,15 Jul' 20
107,Business Acquisition,MobiKwik,"Chennai, Bangalore, Hyderabad, Kochi",Immediately,3 Months,5000/month,20 Jul' 20
108,Data Labelling And Digitization Of Text On OCR Application,IIT Bombay,Work From Home,Immediately,6 Months,5000-8000/month,30 Jul' 20
109,IT Project Management For Text Digitisation,IIT Bombay,Mumbai,Immediately,6 Months,5000-8000/month,29 Jul' 20
110,Business Development (Sales),UpGrad (UpGrad Education Private Limited),"Delhi, Bangalore, Hyderabad, Mumbai",Immediately,6 Months,25000/month,28 Jul' 20
111,Backend & UI Desktop Application Development (OCR In C++),IIT Bombay,Mumbai,Immediately,6 Months,3000-5000/month,28 Jul' 20
112,Machine Learning Model Building (For OCR Tool),IIT Bombay,Mumbai,Immediately,6 Months,3000-5000/month,28 Jul' 20
113,Test Center Administration,Pearson India Education Services Private Limited,Hyderabad,Immediately,5 Months,1500-2000/week,17 Jul' 20
114,Business Development (Sales),MandatoryTrendz.com,Work From Home,Immediately,1 Month,10000lumpsum,12 Aug' 20
115,WordPress Development,Mansa,Work From Home,Immediately,6 Months,3000-5000/month,12 Aug' 20
116,UI/UX Design,Montaigne Smart Business Solutions,Work From Home,Immediately,2 Months,5000/month,12 Aug' 20
117,Mobile App Development,PayNav,Work From Home,Immediately,3 Months,2000-3000/month,12 Aug' 20
118,Content Writing,Gear Bytes Publications,Work From Home,Immediately,6 Months,4500/month,12 Aug' 20
119,Software Testing,Precept Labs Private Limited,Bangalore,Immediately,2 Months,10000-15000/month,12 Aug' 20
120,Web Development,EIandCom,Work From Home,Immediately,2 Months,3000-5000/month,12 Aug' 20
121,ReactJS/UI Development,Precept Labs Private Limited,Bangalore,Immediately,2 Months,15000/month,12 Aug' 20
122,Web Development,Debate Marketers,Delhi,Immediately,3 Months,5000/month,12 Aug' 20
123,Graphic Design,Debate Marketers,Delhi,Immediately,2 Months,5000/month,12 Aug' 20
124,Content Writing,Debate Marketers,Work From Home,Immediately,2 Months,5000/month,12 Aug' 20
125,Graphic Design,Alexis Foundation,Work From Home,Immediately,3 Months,Unpaid,12 Aug' 20
126,Content Writing,The King's Kennel,Work From Home,Immediately,2 Weeks,100/Write-up,12 Aug' 20
127,Marketing,Delta Travel Solutions,Work From Home,Immediately,4 Months,2000/month,12 Aug' 20
128,Telecalling,Qause,Work From Home,Immediately,3 Months,1000/month,12 Aug' 20
129,Graphic Design,SVIP CAPITAL,Pune,Immediately,6 Months,2000/month,12 Aug' 20
130,Business Development (Sales),GenElek Technologies Private Limited,Work From Home,Immediately,2 Months,3000-6000/month,12 Aug' 20
131,Operations,GenElek Technologies Private Limited,Delhi,Immediately,2 Months,5000/month,12 Aug' 20
132,Content Writing,Anicodedigital,Work From Home,Immediately,3 Months,4000/month,12 Aug' 20
133,Graphic Design,Axis Y Compact Lifting Solutions,Work From Home,Immediately,2 Months,2000/month+Incentives,12 Aug' 20
134,Mobile App Development,Edunomics,Work From Home,Immediately,2 Months,20000/month,12 Aug' 20
135,Content Writing,Social Planet,Work From Home,Immediately,6 Months,1000-4000/month,12 Aug' 20
136,Social Media Marketing,Anar,Work From Home,Immediately,2 Months,1000/month,12 Aug' 20
137,Chartered Accountancy (CA),Youth Empowerment Foundation,Work From Home,Immediately,3 Months,Unpaid,12 Aug' 20
138,Social Media Marketing,Skillopreneur Pvt. Ltd.,Work From Home,Immediately,6 Months,8000/month,12 Aug' 20
139,Business Development (Sales),Evogue Media LLP,"Thane, Mumbai",Immediately,2 Months,2000-5000/month,12 Aug' 20
140,Digital Marketing,Ungrezi,Work From Home,Immediately,2 Months,1500/month,11 Aug' 20
141,Graphic Design,Engage Incorporation,Mumbai,Immediately,2 Months,5000-7000/month,11 Aug' 20
142,Full Stack Development,KUKbit Software Lab,Work From Home,Immediately,1 Month,13000/month,11 Aug' 20
143,Internet Of Things (IoT),SkillBit,Work From Home,Immediately,2 Months,15000/month,11 Aug' 20
144,Digital Marketing,Pragmagic Labs,Work From Home,Immediately,3 Months,5000/month,11 Aug' 20
145,Business Development (Sales),Expert English Academy,Work From Home,Immediately,2 Months,1000/month,11 Aug' 20
146,Content Writing,Withlovenregards,Work From Home,Immediately,3 Months,3000/month,11 Aug' 20
147,Marketing,Meritroad Private Limited,Work From Home,Immediately,3 Months,1000/month,11 Aug' 20
148,YouTube Management,Intellify,Work From Home,Immediately,3 Months,Unpaid,11 Aug' 20
149,Mobile App Development,Crazy For Success Foundation,"Bhubaneswar, Chennai, Delhi, Gurgaon, Kolkata, Lucknow, Thiruvananthapuram, Bangalore, Mumbai, Jaipur, Noida",Immediately,4 Months,30000-40000lumpsum,11 Aug' 20
150,Digital Marketing,InstaOffice Business Solutions Private Limited,"Delhi, Gurgaon",Immediately,6 Months,5000-10000/month,11 Aug' 20
151,Content Writing,Travel Lens,Work From Home,Immediately,1 Month,4000-6500/month,11 Aug' 20
152,Mobile App Development,Youth Empowerment Foundation,Work From Home,Immediately,3 Months,Unpaid,11 Aug' 20
153,Application Development,Covidindia.org,Work From Home,Immediately,1 Month,Unpaid,11 Aug' 20
154,Video Making & Editing,Youth Empowerment Foundation,Work From Home,Immediately,3 Months,Unpaid,11 Aug' 20
155,Animation,Youth Empowerment Foundation,Work From Home,Immediately,3 Months,Unpaid,11 Aug' 20
156,Law/Legal,Youth Empowerment Foundation,Work From Home,Immediately,3 Months,Unpaid,11 Aug' 20
157,Content Writing,EngineeringIsWow,Work From Home,Immediately,1 Month,1000/month,11 Aug' 20
158,Internet Of Things (IoT),IoTIoT.in,Work From Home,Immediately,2 Months,Unpaid,11 Aug' 20
159,Business Development (Sales),Craftographers,Work From Home,Immediately,2 Months,1000-2000/month,11 Aug' 20
160,Android App Development,Magnum Solutions,Work From Home,Immediately,2 Months,2000-3000/month,11 Aug' 20
161,Marketing,Fliqaindia Private Limited,Ramnagar I,Immediately,3 Months,8000-12000/month,11 Aug' 20
162,Rural Management,KindBeings,Work From Home,Immediately,2 Months,1000/month,11 Aug' 20
163,Consulting,KindBeings,Work From Home,Immediately,2 Months,1000/month,11 Aug' 20
164,Human Resources (HR),DIvergent Infoconnect,Work From Home,Immediately,6 Months,1000/month,11 Aug' 20
165,Content Writing,The FarmPedia (Sociogrid Consultancy Services),Work From Home,Immediately,3 Months,3000-8000/month,11 Aug' 20
166,Video Making/Editing,QuadB,Ludhiana,Immediately,3 Months,10000/month,11 Aug' 20
167,Web Development,JustCook Foodworld LLP,Work From Home,Immediately,1 Month,5000/month,11 Aug' 20
168,Social Media Promotion,Light De Literacy,Work From Home,Immediately,1 Month,Unpaid,11 Aug' 20
